Mortality,Population,HF,HD
1.513579989,74080,15.435,6.8743
1.858129405,75545,23.137,9.3127
1.855340999,77007,24.742,9.1909
1.967578522,78469,28.686,9.8667
1.702495227,79930,14.921,7.0194
1.624082558,81396,13.418,6.8974
1.924363626,82858,23.887,8.6335
2.059371206,84319,30.738,10.118
1.971259417,85781,36.798,11.132
2.066321673,87247,21.704,8.2075
2.027342832,88709,17.775,8.1652
2.088893221,90147,18.581,7.9386
2.00933537,91585,24.358,10.667
2.134606162,93026,28.964,10.568
2.200923068,94464,26.178,9.493
2.321094545,95902,41.339,11.823
2.13931519,97340,30.161,10.1
2.061886127,98782,30.833,9.4057
1.945717586,100000,19.992,8.4631
2.334351271,102000,32.249,10.131
2.322438598,103000,40.322,12.022
2.787303815,104000,44.279,14.094
2.369114357,106000,30.848,11.359
2.103858364,107000,20.83,8.8006
2.026293786,108000,30.714,9.8559
2.055685667,110000,19.57,7.7746
2.173498167,111000,32.622,10.21
2.23606849,112000,43.168,13.223
3.226617784,114000,41.944,13.011
2.39958843,115000,26.662,9.1453
2.015698262,116000,23.321,9.0444
1.957388211,117000,30.859,10.506
1.974314703,119000,37.496,11.558
2.144524709,120000,25.73,8.7267
2.432471133,121000,27.391,9.6108
2.198767125,122000,27.392,8.9793
2.460659859,123000,35.379,12.364
2.379017492,124000,37.626,11.701
1.968788646,125000,22.022,9.0618
2.232105676,126000,29.104,9.4237
2.187958782,128000,26.637,9.396
2.196072776,128000,36.517,10.91
2.434437378,129000,37.391,11.088
2.039545011,130000,21.532,8.2149
2.359884416,131000,28.587,9.1283
2.466261495,132000,33.07,11.616
2.677993516,133000,37.299,10.679
2.647668664,134000,31.014,10.675
2.189588187,135000,24.195,8.9242
2.272729085,136000,39.156,12.941
2.586338429,136000,41.739,11.725
2.708217467,137000,41.997,12.856
2.19265827,138000,31.975,11.853
2.244679059,139000,31.227,9.8983
2.280553328,139000,27.84,10.37
2.61032742,140000,43.705,12.612
2.924032657,141000,50.964,14.191
2.216962328,141000,27.063,9.0938
2.180380506,142000,28.508,10.597
2.252479451,143000,28.199,10.235
2.342338919,143000,34.69,10.777
2.075243029,144000,29.269,10.645
2.496646531,144000,33.637,9.5859
2.508328887,145000,36.033,11.797
2.374624633,145000,29.93,9.4343
2.090097235,145000,25.068,8.4451
2.175838182,146000,25.99,8.8362
2.405185662,146000,41.213,11.64
2.452789014,147000,37.939,11.912
2.370870355,147000,32.122,10.317
2.381978353,148000,28.936,11.006
2.23954354,148000,38.295,9.9096
2.548511986,148000,40.107,11.452
2.374041955,148000,29.532,10.177
2.468665238,149000,42.806,14.983
2.110847602,149000,29.749,10.066
2.176411695,149000,36.61,13.388
2.346881972,149000,33.077,10.362
2.331575222,150000,34.899,11.799
2.187189334,150000,31.677,11.835